genre,director_popularity,budget_musd,runtime_min,release_year,social_buzz,critic_score,star_power,audience_rating
Romance,0.752,45.887,110,1998,0.637,50.929,0.027,8.668
Action,0.609,39.079,116,2014,0.664,66.658,0.315,8.346
Comedy,0.347,33.8,127,2000,0.191,60.621,0.284,8.229
Drama,0.916,41.743,118,2006,0.696,48.302,0.642,8.442
SciFi,0.82,53.95,120,2015,0.599,43.06,0.163,7.525
Action,0.354,16.331,88,1997,0.808,41.252,0.3,8.201
Animation,0.373,40.829,112,2024,0.691,62.659,0.412,8.591
Comedy,0.315,37.585,122,2024,0.297,50.253,0.308,6.585
Animation,0.849,39.592,115,1997,0.262,73.712,1.0,9.881
Romance,0.378,0.5,110,2015,0.31,68.009,0.507,7.598
Drama,0.496,14.137,97,1999,0.381,58.463,0.493,8.261
Romance,0.528,42.143,129,2014,0.726,70.716,0.807,9.098
SciFi,0.519,28.251,105,2012,0.128,65.142,0.072,7.195
Comedy,0.641,0.5,120,2023,0.373,25.635,0.522,5.874
Action,0.616,20.822,96,1999,0.237,58.747,0.606,9.336
Action,0.37,15.879,99,1998,0.963,51.723,0.605,8.18
Action,0.515,49.385,131,2021,0.693,88.003,0.678,9.696
Horror,0.396,38.514,107,2011,0.682,53.696,0.574,8.847
Romance,0.383,7.972,91,2006,0.721,48.241,0.614,8.024
Drama,0.598,48.893,112,2013,0.518,70.656,0.378,8.745
Action,0.549,25.561,111,2001,0.871,41.68,0.402,9.154
Comedy,0.323,35.876,83,2001,0.804,77.29,0.343,9.087
Animation,0.461,7.755,116,2007,0.489,61.324,0.055,8.095
SciFi,0.583,15.108,114,2003,0.005,72.11,0.904,8.554
Animation,0.439,28.497,138,1997,0.498,91.087,0.283,9.02
Comedy,0.699,51.348,85,2000,0.0,95.037,0.458,9.476
Horror,0.432,52.601,106,2016,0.066,63.285,0.358,6.893
SciFi,1.0,29.524,104,2005,0.81,71.985,0.011,9.05
Comedy,0.723,36.248,113,1997,0.424,60.026,0.337,9.279
Comedy,0.788,26.243,107,1997,0.211,74.651,0.0,7.775
Comedy,0.416,18.595,109,2015,0.632,60.959,0.707,8.693
Horror,0.422,16.027,96,1998,0.655,69.614,0.445,9.188
Action,0.639,20.089,125,2017,0.896,51.038,1.0,9.711
Romance,0.27,35.178,98,2016,0.908,83.646,0.452,10.0
Romance,0.349,26.074,91,2001,0.257,53.761,0.048,6.369
Animation,0.495,50.201,116,2021,0.496,66.247,0.547,8.289
Drama,0.614,43.763,104,1998,0.192,92.67,0.736,9.787
Animation,0.357,17.047,123,2008,0.649,74.245,0.859,8.513
Animation,0.682,33.502,100,2006,0.163,70.858,0.0,7.398
Comedy,0.655,39.848,105,2000,0.951,60.923,0.541,9.236
Romance,0.811,18.032,91,2018,0.696,69.402,0.317,8.747
